Order ID,Order Date,Ship Date,Customer ID,Country,City,State,Postal Code,Region,Category,Sales,Quantity,Discount,Profit
CA-2016-152156,08-11-2016,11-11-2016,CG-12520,United States,Henderson,Kentucky,42420,South,Furniture,261.96,2,0,41.9136
CA-2016-152156,08-11-2016,11-11-2016,CG-12520,United States,Henderson,Kentucky,42420,South,Furniture,731.94,3,0,219.582
CA-2016-138688,12-06-2016,16-06-2016,DV-13045,United States,Los Angeles,California,90036,West,Office Supplies,14.62,2,0,6.8714
US-2015-108966,11-10-2015,18-10-2015,SO-20335,United States,Fort Lauderdale,Florida,33311,South,Furniture,957.5775,5,0.45,-383.031
US-2015-108966,11-10-2015,18-10-2015,SO-20335,United States,Fort Lauderdale,Florida,33311,South,Office Supplies,22.368,2,0.2,2.5164
CA-2014-115812,09-06-2014,14-06-2014,BH-11710,United States,Los Angeles,California,90032,West,,48.86,7,0,14.1694
CA-2014-115812,09-06-2014,14-06-2014,BH-11710,United States,Los Angeles,California,90032,West,Office Supplies,7.28,4,0,1.9656
CA-2014-115812,09-06-2014,14-06-2014,BH-11710,United States,Los Angeles,California,90032,West,Technology,907.152,6,0.2,90.7152
CA-2014-115812,09-06-2014,14-06-2014,BH-11710,United States,Los Angeles,California,90032,West,Office Supplies,18.504,3,0.2,5.7825
CA-2014-115812,09-06-2014,14-06-2014,BH-11710,United States,Los Angeles,California,90032,West,Office Supplies,114.9,,0,34.47
CA-2014-115812,09-06-2014,14-06-2014,BH-11710,United States,Los Angeles,California,90032,West,Furniture,1706.184,9,0.2,85.3092
CA-2014-115812,09-06-2014,14-06-2014,BH-11710,United States,Los Angeles,California,90032,West,Technology,911.424,4,0.2,68.3568
CA-2017-114412,15-04-2017,20-04-2017,AA-10480,United States,Concord,North Carolina,28027,South,,15.552,3,0.2,5.4432
CA-2016-161389,05-12-2016,10-12-2016,IM-15070,United States,Seattle,Washington,98103,West,Office Supplies,407.976,3,0.2,132.5922
US-2015-118983,22-11-2015,26-11-2015,HP-14815,United States,Fort Worth,Texas,76106,Central,Office Supplies,68.81,5,0.8,-123.858
US-2015-118983,22-11-2015,26-11-2015,HP-14815,United States,Fort Worth,Texas,76106,Central,Office Supplies,2.544,3,0.8,-3.816
CA-2014-105893,11-11-2014,18-11-2014,PK-19075,United States,Madison,Wisconsin,53711,Central,Office Supplies,665.88,6,0,13.3176
CA-2014-167164,13-05-2014,15-05-2014,AG-10270,United States,West Jordan,Utah,84084,West,Office Supplies,55.5,2,0,9.99
CA-2014-143336,27-08-2014,01-09-2014,ZD-21925,United States,San Francisco,California,94109,West,Office Supplies,8.56,2,0,2.4824
CA-2014-143336,27-08-2014,01-09-2014,ZD-21925,United States,San Francisco,California,94109,West,Technology,213.48,3,0.2,16.011
CA-2014-143336,27-08-2014,01-09-2014,ZD-21925,United States,San Francisco,California,94109,West,,22.72,4,0.2,7.384
CA-2016-137330,09-12-2016,13-12-2016,KB-16585,United States,Fremont,Nebraska,68025,Central,Office Supplies,19.46,7,0,5.0596
CA-2016-137330,09-12-2016,13-12-2016,KB-16585,United States,Fremont,Nebraska,68025,Central,Office Supplies,60.34,7,0,15.6884
US-2017-156909,16-07-2017,18-07-2017,SF-20065,United States,Philadelphia,Pennsylvania,19140,East,Furniture,71.372,2,0.3,-1.0196
CA-2015-106320,25-09-2015,30-09-2015,EB-13870,United States,Orem,Utah,84057,West,Furniture,1044.63,3,0,240.2649
CA-2016-121755,16-01-2016,20-01-2016,EH-13945,United States,Los Angeles,California,90049,West,Office Supplies,11.648,,0.2,4.2224
CA-2016-121755,16-01-2016,20-01-2016,EH-13945,United States,Los Angeles,California,90049,West,Technology,90.57,3,0,11.7741
US-2015-150630,17-09-2015,21-09-2015,TB-21520,United States,Philadelphia,Pennsylvania,19140,East,Furniture,3083.43,7,0.5,-1665.0522
